Tumor_Sample_Barcode,PIK3CA_cadd,TP53_cadd
MB-5652,0,23.3
MB-5656,31,0
MB-6006,23.9,0
MB-6108,0,0
MB-6118,22.5,0
MB-6183,0,0
MB-6201,0,0
MB-6212,30,0
MB-6218,0,0
MB-6225,30,0
MB-6229,31,0
MB-6233,0,0
MB-6237,0,24.2
MTS-T0060,0,0
MTS-T0061,30,23.6
MTS-T0066,22.5,22.5
MTS-T0068,0,0
MTS-T0164,31,0
MTS-T0166,0,0
MTS-T0168,0,0
MTS-T0169,0,0
MTS-T0172,0,0
MTS-T0179,0,0
MTS-T0180,22.5,23.9
MTS-T0181,22.5,0
MTS-T0185,30,0
MTS-T0187,0,0
MTS-T0235,0,27.2
MTS-T0239,22.5,0
MTS-T0247,0,0
MTS-T0257,26.6,0
MTS-T0286,30,0
MTS-T0325,0,24.2
MTS-T0525,0,0
MTS-T0600,0,0
MTS-T0685,30,33
MTS-T0788,0,0
MTS-T0824,0,32
MTS-T0883,0,26.1
MTS-T0927,22.6,0
MTS-T0951,0,0
MTS-T1203,0,0
MTS-T1454,0,0
MTS-T1502,0,0
MTS-T1504,0,0
MTS-T1514,0,0
MTS-T1515,0,0
MTS-T1549,22.6,0
MTS-T1561,31,33
MTS-T1616,0,0
MTS-T1633,0,35
MTS-T1706,0,0
MTS-T1872,0,0
MTS-T1945,24.4,0
MTS-T2047,0,0
MTS-T2054,0,0
MTS-T2068,30,0
MTS-T2074,0,0
MTS-T2083,23.8,0
MTS-T2085,0,24.2
MTS-T2096,0,0
MTS-T2106,22.5,0
MTS-T2115,22.5,0
MTS-T2117,22.5,29.3
MTS-T2126,0,0
MTS-T2129,22.5,34
MTS-T2178,0,0
MTS-T2189,0,0
MTS-T2212,0,35
MTS-T2304,0,0
MTS-T2402,0,0
MTS-T2404,0,0
MTS-T2405,25.3,38
MTS-T2406,30,0
MTS-T2408,22.8,0
MTS-T2409,31,0
MTS-T2413,31,0
MTS-T2414,0,0
MTS-T2415,0,0
MTS-T2423,27,0
MTS-T2428,24.4,0
MTS-T2429,22.5,0
